tri_facility.TRI_FACILITY_ID,tri_facility.FACILITY_NAME,tri_facility.STREET_ADDRESS,tri_facility.CITY_NAME,tri_facility.COUNTY_NAME,tri_facility.STATE_ABBR,tri_facility.ZIP_CODE,tri_facility.PREF_LATITUDE,tri_facility.PREF_LONGITUDE
92507CDDCK3127C,CADDOCK ELECTRONICS INC,3127 CHICAGO AVE,RIVERSIDE,RIVERSIDE,CA,92507,,
46517VLMNT57843,VALMONT INDUSTRIES INC,57843 CHARLOTTE AVE,ELKHART,ELKHART,IN,46517,,
40475MRCNT2000E,INTERTAPE POLYMER GROUP,2000 ENTERPRISE DR,RICHMOND,MADISON,KY,40475,,
77562STHWS18310,SOUTHWEST SHIPYARD LP,18310 MARKET ST,CHANNELVIEW,HARRIS,TX,77530,29.791667,95.063889
90509LLDSG2525W,HONEYWELL INTERNATIONAL INC,2525 W 190TH ST,TORRANCE,LOS ANGELES,CA,90504,33.8581,118.320005
85737RRSRC11100,HONEYWELL INTERNATIONAL INC,11100 N ORACLE RD,TUCSON,PIMA,AZ,85737,32.405556,110.941667
44117RFLFR23555,TECT,23555 EUCLID AVE,EUCLID,CUYAHOGA,OH,44117,41.575,81.520833
16505MFXNC3017W,MAFIX INC,3017 W 15TH ST,ERIE,ERIE,PA,165053927,42.096147,80.14646
82716KFXFL3574G,KFX PLANT #2,3574 GARNER LAKE RD,GILLETTE,CAMPBELL,WY,82717,,
28638KNCDFPOBOX,KINCAID FURNITURE CO PLANT 1HUDSON,168 MAIN STREET-HUDSON,HUDSON,CALDWELL,NC,28638,35.858333,81.508333
28638KNCDF168MA,KINCAID FURNITURE CO PLANT 6,348 SHASTA LN,LENOIR,CALDWELL,NC,286450605,35.858333,81.508333
28645KNCDFROCKY,KINCAID FURNITURE CO PLANT 8,HWY 18 & ROCKY RD GAMEWELL,LENOIR,CALDWELL,NC,28645,35.863333,81.595556
49252YKNMN900AN,YUKON MANUFACTURING INC,900 ANDERSON RD,LITCHFIELD,HILLSDALE,MI,49252,,
07001TRMTR36MIL,PRIDE SOLVENTS & CHEMICAL CO OF NJ,36 MILEED WAY,AVENEL,MIDDLESEX,NJ,7001,,
65024CHMSPSTATE,CHAMOIS POWER PLANT,9321 HWY 100,CHAMOIS,OSAGE,MO,65024,,
51501CNCLB2115N,MIDAMERICAN ENERGY CO WALTER SCOTT JR ENERGY CENTER,7215 NAVAJO,COUNCIL BLUFFS,POTTAWATTAMIE,IA,51501,,
89316RBYHLINTER,RUBY HILL MINING CO LLC,INTRSCTION OF HWY 50 & SR278,EUREKA,EUREKA,NV,89316,,
29153CTRPL1355N,CATERPILLAR PRECISION PIN PRODUCTS GROUP,1355 N WISE DR,SUMTER,SUMTER,SC,29153,,
28645RLNCN1713M,AKZO COATINGS INC,1713 MAIN ST NW,LENOIR,CALDWELL,NC,28645,35.930556,81.55
30071KZCTN6369O,FERRO CORP,6369 OLD PEACHTREE RD,PEACHTREE CORNERS,GWINNETT,GA,30071,33.931111,84.231111
31513KZCHMUSHWY,LAWTER INC,1202 E PARKER ST,BAXLEY,APPLING,GA,31513,31.765,82.31
95242SBSTN5852W,SEBASTIANI VINEYARDS INC TURNER ROAD VINTNERS WEST,5852 W TURNER RD,LODI,SAN JOAQUIN,CA,95242,,
78223HWLLH7811S,CALUMET SAN ANTONIO REFINING LLC,7811 S PRESA ST,SAN ANTONIO,BEXAR,TX,78223,29.3475,98.46
44438HWLLNCOUNT,HOWELL IND INC,COUNTY RD 26,MASURY,TRUMBULL,OH,44438,41.210278,80.527222
04009HWLLLRTE11,HOWELL LABORATORIES INC,188 HARRISON RD,BRIDGTON,CUMBERLAND,ME,4009,44.0675,70.702778
27613MJSTC8805I,MAJESTIC MARBLE & GLASS CO,8805 ICE DR,RALEIGH,WAKE,NC,27613,35.9,78.733333
83714MRVCR604E4,MARAVIA CORP,604 E 4TH ST,BOISE,ADA,ID,83714,,
91786SCHMN297ES,SCHEU MFG CO INC,297 E STOWELL ST,UPLAND,SAN BERNARDINO,CA,91786,,
32091SMJSTC100A,CMC JOIST & DECK,14099 SE 44TH AVE,STARKE,BRADFORD,FL,32091,,
47978HMTTR1132N,SEALY COMPONENTS GROUP,1132 N CULLEN ST,RENSSELAER,JASPER,IN,47978,,
85282KMNVR905WE,KELLY-MOORE UNIVERSAL PAINT CO,905 W ALAMEDA DR,TEMPE,MARICOPA,AZ,85282,,
54813WSCNSNORTH,WISCONSIN STRUCTURAL STEEL CO,2950 US HIGHWAY 63,BARRONETT,BARRON,WI,54813,,
54634HLLSBAIRRA,HILLSBORO FARMERS COOPERATIVE WAREHOUSE-AGRONOMY,AIR RAIL RD,HILLSBORO,VERNON,WI,54634,,
78664TYCPR2700O,TYCO PRINTED CIRCUIT GROUP,2700 OAKMONT DR,ROUND ROCK,WILLIAMSON,TX,78664,,
94587TYCPR30000,TTM TECHNOLOGIES INC HAYWARD UNION CITY,30000 EIGENBRODT WAY,UNION CITY,ALAMEDA,CA,94587,,
48184CLMCN3720S,CUL-MAC INDUSTRIES INC,3720 S VENOY RD,WAYNE,WAYNE,MI,48184,42.280556,83.366389
02920CRNST1381C,CRANSTON PRINT WORKS CO  CRANSTON DIV,1381 CRANSTON ST,CRANSTON,PROVIDENCE,RI,2920,41.791667,71.458333
28732CRNSTUSROU,CRANSTON PRINT WORKS CO FLETCHER DIV,US  HWY RT 25,FLETCHER,HENDERSON,NC,28732,35.4152,82.5075
44030CRWFR394WH,CRAWFORD CONTAINER CO,394 WHITNEY RD,CONNEAUT,ASHTABULA,OH,44030,41.9451,80.5882
32809RFLTX2287P,TURBINE ENGINE COMPONENTS   TEXTRON,2287 PREMIER ROW,ORLANDO,ORANGE,FL,32809,28.4612,81.3846
68501LNCLN8000S,LINCOLN ELECTRIC SYSTEM ROKEBY STATION,8000 SW 12TH ST,LINCOLN,LANCASTER,NE,68501,,
21811HDSNFRT346,TYSON FOODS INC BERLIN PROCESSING,10129 OLD OCEAN CITY BLVD,BERLIN,WORCESTER,MD,218110007,38.336111,75.216667
35950HDSNFUSHIG,TYSON CHICKEN INC - ALBERTVILLE PROCESSING PLANT,6600 HWY 431 S,ALBERTVILLE,MARSHALL,AL,35950,34.274444,86.196111
95134KSHCM305WT,AKASHIC MEMORIES CORP,305 W TASMAN DR,SAN JOSE,SANTA CLARA,CA,95134,37.411111,121.957778
95050KSHCM3570R,AKASHIC MEMORIES CORP,3570 RYDER ST,SANTA CLARA,SANTA CLARA,CA,95050,37.3524,121.9512
48827KMPLS5265S,AXSON NORTH AMERICA INC,5266 S CLINTON TRAIL,EATON RAPIDS,EATON,MI,48827,42.490599,84.659227
73118KMRYN52NW4,KIMRAY INC,52 NW 42ND ST,OKLAHOMA CITY,OKLAHOMA,OK,73118,35.513056,97.513611
01069CRTVC3CHUR,JARVIS EAST,1127 S MAIN ST,PALMER,HAMPDEN,MA,1069,42.183776,72.324128
75662CRTVC428NL,CREATIVE COATINGS INC,428 N LONGVIEW ST,KILGORE,GREGG,TX,75662,32.390213,94.874605
48430CRTVF300NO,CREATIVE FOAM CORPORATION,300 N ALLOY DR,FENTON,GENESEE,MI,48430,42.793333,83.726944
46506CRTVF405NI,CREATIVE FOAM MEDICAL SYSTEMS,405 N INDUSTRIAL DR,BREMEN,MARSHALL,IN,46506,41.45,86.166667
30909CRTVM4188B,CREATIVE MARBLE INC.,4188 BELAIR FRONTAGE RD,AUGUSTA,COLUMBIA,GA,30909,33.511111,82.133333
08903KZCHM500JE,AKCROS CHEMICALS INC,500 JERSEY AVE,NEW BRUNSWICK,MIDDLESEX,NJ,8901,40.481389,74.4675
55344FTMRK12150,APPLIED COATING TECHNOLOGY INC PLANT 1,12150 TECHNOLOGY DRIVE,EDEN PRAIRIE,HENNEPIN,MN,55344,44.866667,93.433333
26505WSTMRMORGA,ADDIVANT USA LLC-NORTH PLANT,1000 MORGANTOWN INDUSTRIAL PARK,MORGANTOWN,MONONGALIA,WV,26501,39.61,79.976111
25515KZCHMSTATE,ICL-IP AMERICA INC,11636 HUNTINGTON,GALLIPOLIS FERRY,MASON,WV,25515,38.776667,82.208333
36505KZCHMUSHIG,AKZO NOBEL FUNCTIONAL CHEMICAL S LLC,13440 HWY 43 N,AXIS,MOBILE,AL,36505,30.971389,88.025
44663ZMMRX714KA,ZIMMER INC PATIENT CARE DIV,714 KADERLY NW,NEW PHILADELPHIA,TUSCARAWAS,OH,44663,40.498889,81.453889
91749CRFTC900SO,CREFTCON INDUSTRIES,900 S AJAX AVE,CITY OF INDUSTRY,LOS ANGELES,CA,91749,34.0025,117.911944
12037CRLLN87CEN,SONOCO CRELLIN,87 CENTER ST,CHATHAM,COLUMBIA,NY,12037,42.369444,73.600556
37041NTDST102HO,U S SMOKELESS TOBACCO CO,102 HORNBERGER LN,CLARKSVILLE,MONTGOMERY,TN,37040,,
46254DVRSF3939W,DIVERSIFIED SYSTEMS INC.,3939 W 56TH ST,INDIANAPOLIS,MARION,IN,462544961,,
29810LLNDLRTE27,KODIAK INC,HWY 278 E AT AIRPORT RD,ALLENDALE,ALLENDALE,SC,29810,,
76503DNPRD3401E,MARS PETCARE US INC,3401 EBERHARDT ROAD,TEMPLE,BELL,TX,76504,31.134722,97.354722
89439WLLSM2ERIK,WELLS MANUFACTURING CO.,2 ERIK CIR,VERDI,WASHOE,NV,89439,,
85043PHNXT5110W,CHEVRON PHOENIX TERMINAL,5110 W MADISON ST,PHOENIX,MARICOPA,AZ,85043,,
45801MRCNT651NB,AMERICAN TRIM SUPERIOR METAL PRODUCTS DIV,651 N BAXTER ST,LIMA,ALLEN,OH,45801,,
79311BRNTH3MILE,ABERNATHY REFINED PRODUCTS TERMINAL,3 MILES N ON IH-27 1/2 MILE ON HWY 54,ABERNATHY,HALE,TX,79311,,
74361WLGRF5THHU,PRYOR CHEMICAL CO,4463 HUNT STREET,PRYOR,MAYES,OK,74361,36.2494,95.3093
99347WLBRLHWY12,WILBUR-ELLIS CO,HWY 127 & COUNTY RD 8190,POMEROY,GARFIELD,WA,99347,46.625,117.8
77859TDPRDHWY79,WILBUR-ELLIS CO,HWY 79 W,HEARNE,ROBERTSON,TX,77859,30.8319,96.5749
78583TDPRD1MILE,WILBUR-ELLIS CO,1 MILE N REYNOLDS RD,RIO HONDO,CAMERON,TX,78583,26.241667,97.583333
60609JSLYN3700S,MACLEAN POWER JOSLYN,3700 S MORGAN STREET,CHICAGO,COOK,IL,60609,41.828889,87.650833
63139JSTCH3260B,JOST CHEMICAL CO INC,3260 BRANNON,SAINT LOUIS,ST LOUIS (CITY),MO,63139,38.606944,90.271944
48192JNSCH18000,JCI JONES CHEMICALS INC,18000 PAYNE AVE,RIVERVIEW,WAYNE,MI,48193,42.176806,83.167851
63028JNSCHRT417,DPC ENTERPRISES LP,1785 HWY 61 S,FESTUS,JEFFERSON,MO,63028,38.1542,90.4224
27409TRNSM6801W,TRANSMONTAIGNE PRODUCT SERVICES INC GREENSBORO SE,6801 W MARKET ST,GREENSBORO,GUILFORD,NC,27409,,
33435FLRNT62NET,FLORENTINE MARBLE CO INC,620 NE 3RD ST,BOYNTON BEACH,PALM BEACH,FL,33435,,
68127WYRHS7517F,WEYERHAEUSER PAPER CO,7517 F ST,OMAHA,DOUGLAS,NE,68127,41.21,96.028056
97459WYRHSJORDA,WEYERHAEUSER CO NORTH BEND CONTAINERBOARD,JORDAN PT HORSFALL BEACH RD,NORTH BEND,COOS,OR,97459,43.438889,124.238889
28560WYRHSSTREE,INTERNATIONAL PAPER- NEW BERN MILL,1785 WEYERHAEUSER RD,VANCEBORO,CRAVEN,NC,28586,35.208333,77.123611
21227JHNSN3721O,JOHNSON & BLOY INC,3721 OLD GERORGETOWN RD,BALTIMORE,BALTIMORE (CITY),MD,21227,39.246667,76.678056
61265FBRGL49007,FABRI - GLASS INC,4900 7TH ST,MOLINE,ROCK ISLAND,IL,61265,,
54771STLLF505NA,SAPUTO CHEESE USA INC,505 N ADAMS ST,THORP,CLARK,WI,54771,,
85283CTLRH7160S,CUTLER-HAMMER,7160 S HARL AVE,TEMPE,MARICOPA,AZ,85283,,
47331WHTCN2000I,FRIGIDAIRE CO,2000 ILLINOIS AVE,CONNERSVILLE,FAYETTE,IN,47331,39.663889,85.140556
26030WHLNGROUTE,RG STEEL WHEELING LLC - BEECH BOTTOM PLANT,WEST VIRGINIA ROUTE 2,BEECH BOTTOM,BROOKE,WV,26030,40.223611,80.661389
26003WHLNG31STS,WHEELING-PITTSBURGH STEEL CORP LABELLE PLANT,31ST ST,WHEELING,OHIO,WV,26003,40.055556,80.722222
26037WHLNGROUTE,MOUNTAIN STATE CARBON LLC,1851 MAIN ST,FOLLANSBEE,BROOKE,WV,26037,40.333333,80.6
48108JHNSN5500S,JOHNSON CONTROLS TECHNOLOGIES INC,5500 S STATE RD,ANN ARBOR,WASHTENAW,MI,48108,42.206679,83.733593
72301PRFRM304WY,STATESIDE STEEL & WIRE LLC,304 WYANOKE RD,WEST MEMPHIS,CRITTENDEN,AR,72301,,
53551PVNRT100SO,APV PRODUCTS,100 S CP AVE,LAKE MILLS,JEFFERSON,WI,53551,,
15342MNTCH2045W,CATERPILLAR GLOBAL MINING,2045 W. PIKE ST,HOUSTON,WASHINGTON,PA,15342,,
48189JHNSN435WE,WOODBRIDGE CORP,435 W EIGHT MILE RD,WHITMORE LAKE,WASHTENAW,MI,48189,42.428056,83.770833
63042HZLWD8840P,GENERAL MILLS,8840 PARSHALL RD,HAZELWOOD,ST LOUIS,MO,63042,,
49507LDYMN210HA,LEEDY MANUFACTURING INC,210 HALL SW,GRAND RAPIDS,KENT,MI,49507,,
67460KCHHY462US,ONEOK HYDROCARBON LP MCPHERSON BUTANE ISOMERIZATION PLANT,462 US HWY 56,MCPHERSON,MCPHERSON,KS,67460,,
28216STNLY7300R,MASONITE CHARLOTTE NC EXTERIOR DOOR,7300 REAMES RD,CHARLOTTE,MECKLENBURG,NC,28216,,
44109CTLRH4711H,CUTLER-HAMMER,4711 HINKLEY INDUSTRIAL PKWY,CLEVELAND,CUYAHOGA,OH,44109,,
97424WYRHSUSHWY,WEYERHAEUSER CO,US HWY 99 S,COTTAGE GROVE,LANE,OR,97424,43.7864,123.0664
28144TCHNCHIGHW,DURAFIBER TECHNOLOGIES INC SALISBURY PLANT,7401 STATESVILLE BLVD,SALISBURY,ROWAN,NC,28147,35.711111,80.602778
07105HCHST354DO,HOECHST-CELANESE CORP,354 DOREMUS AVE,NEWARK,ESSEX,NJ,71054872,40.720556,74.125
77414HCHSTPOBOX,CELANESE LTD BAY CITY PLANT,2001 FM 3057,BAY CITY,MATAGORDA,TX,77414,28.861667,96.019444
48083CRTSP2260S,CURTIS PROCESSING CO,2260 STEPHENSON HWY,TROY,OAKLAND,MI,48083,42.555556,83.125
43506LLDML222NU,ALLIED MOULDED PRODUCTS INC,222 N UNION ST,BRYAN,WILLIAMS,OH,43506,41.477778,84.536111
03301LLDPH28LOC,ALLIED PHOTO PRODUCTS CO INC,28 LOCKE RD,CONCORD,MERRIMACK,NH,3301,43.242284,71.54643
19014CSTMC8CROZ,CUSTOM COMPOUNDING INC,8 CROZERVILLE RD,ASTON,DELAWARE,PA,19014,39.878889,75.459722
30060CSTMD555HA,CUSTOM DESIGN BATHS INC,555 HAMES RD,MARIETTA,COBB,GA,30060,33.967778,84.568056
74106CSTMN1120N,CUSTOM ENG & MFG CO INC,1120 N PEORIA,TULSA,TULSA,OK,74106,36.170833,95.975
90810CSTMF1711H,CUSTOM FIBREGLASS MANUFACTURING CO,1711 HARBOR AVE,LONG BEACH,LOS ANGELES,CA,90813,33.7883,118.2098
43050KLSYHBLACK,KELSEY-HAYES CO.,8405 BLACKJACK RD.,MOUNT VERNON,KNOX,OH,43050,40.356389,82.486944
65301KLSYH3610W,HAYES LEMMERZ INTERNATIONAL SEDALIA INC,3610 W MAIN ST,SEDALIA,PETTIS,MO,65301,38.715,93.271944
07410KMMNF1835R,KEM MANUFACTURING CO INC,18-35 RIVER RD,FAIR LAWN,BERGEN,NJ,7410,40.940556,74.143056
55112KMMLL61914,"DARLING & CO, KEM MILLING CO DIV",619 14TH ST NE,NEW BRIGHTON,RAMSEY,MN,55112,45.073056,93.185556
44132CYHGM1265B,CUYAHOGA MOLDED PLASTICS CORP - EUCLID,1265 BABBITT RD,EUCLID,CUYAHOGA,OH,44132,41.591389,81.506944
60638WTCCR5301W,"WITCO CORP, ALLIED KELITE DIV",5301 W 66TH ST,BEDFORD PARK,COOK,IL,60638,41.772778,87.754722
07608LLDSGROUTE,ALLIED-SIGNAL AEROSPACE,RTE 46,TETERBORO,BERGEN,NJ,76081173,40.86,74.063889
29116LLDSGHWY60,BENDIX ELECTRIC POWER DIV,3737 INDUSTRIAL BLVD,ORANGEBURG,ORANGEBURG,SC,29116,33.557222,80.834722
41018MYRTL1462D,MEYER TOOL INC,1462 DONALDSON RD,ERLANGER,BOONE,KY,41018,,
45225MYRTL3055C,MEYER TOOL INC,3055 COLERAIN AVE,CINCINNATI,HAMILTON,OH,45225,,
28086PNHLLHWY29,GENERAL SHALE BRICK INC PLANT 44,HWY 29 S 1622 LONGBRANCH RD,GROVER,CLEVELAND,NC,28073,,
19446TYCFR451CA,CENTRAL SPRINKLER CO,451 CANNON AVE,LANSDALE,MONTGOMERY,PA,19446,,
44139LFRDM29500,SWAGELOK MANUFACTURING CO LLC,29500 AMBINA DR & 29900 SOLON INDUSTRIAL PKWY,SOLON,CUYAHOGA,OH,44139,,
43040BLLMR25000,BELLEMAR PARTS INDUSTRIES INC,25000 US RT 33,MARYSVILLE,UNION,OH,43040,40.281258,83.545542
63106CNNCT1600N,CONNECTOR CASTINGS INC,1600 N 22ND ST,SAINT LOUIS,ST LOUIS (CITY),MO,63106,,
77041LRKHT6640M,LARK HEAT TREATING INC,6640 MAYARD DR,HOUSTON,HARRIS,TX,77041,,
42101LLLYN347CE,ENGINEERED POLYMER SOLUTIONS INC D/B/A VALSPAR COATINGS,347 CENTRAL AVE,BOWLING GREEN,WARREN,KY,42101,,
60504MDWST3737E,CROWN AEROSOL PACKAGING,3737 E EXCHANGE AVE,AURORA,DUPAGE,IL,60504,,
60185TTSNS711IN,OSI INDUSTRIES INC OTTO & SONS,711 IND US TRIAL DR,WEST CHICAGO,DUPAGE,IL,60185,,
56143GCHMQ202IN,AGCO CORP JACKSON OPERATIONS,202 INDUSTRIAL PARK,JACKSON,JACKSON,MN,56143,43.638056,94.976111
77641THYLDSAVAN,AFTON CHEMICAL ADDITIVES CORP,4245 SAVANNAH AVE,PORT ARTHUR,JEFFERSON,TX,77640,,
67356CNSMN2300W,DIAMOND COACH CORP,2300 W 4TH ST,OSWEGO,LABETTE,KS,67356,37.167,95.108333
30093LLDPH5440A,ALLIED DIAGNOSTIC IMAGING RESOURCES INC,5440 OAKBROOK PKWY,NORCROSS,GWINNETT,GA,30093,33.939722,84.206667
08110HBRTT7001W,HIBRETT PURATEX,7001 WESTFIELD AVE,PENNSAUKEN,CAMDEN,NJ,8110,,
53151BBTMT16250,ABB INC,16250 W GLENDALE DR,NEW BERLIN,WAUKESHA,WI,53151,,
47006HLLRMWPEAR,"HILL-ROM, INC. - PLATING PLANT",101 W PEARL ST,BATESVILLE,RIPLEY,IN,47006,39.299444,85.225
47006HLLRMEPEAR,HILL-ROM INC RITTER PLANT,1125 E PEARL ST,BATESVILLE,RIPLEY,IN,47006,39.291667,85.208333
21741FRSTR551EA,FIRST URBAN FIBER,551 EASTERN BLVD S,HAGERSTOWN,WASHINGTON,MD,21741,,
06108NDRWWPENTR,ANDREW WILLGOOS TURBINE LABORATORY,PENT RD,EAST HARTFORD,HARTFORD,CT,6108,,
33020LQDCR2910S,LIQUID CARBONIC INDUSTRIES CORP,2910 STIRLING RD,HOLLYWOOD,BROWARD,FL,33020,26.056667,80.166667
46218WTCRC3500E,CONNOR CORP,3500 E  20TH ST,INDIANAPOLIS,MARION,IN,46218,39.791667,86.125
16050WTCCRHWY26,SONNEBORN LLC,100 SONNEBORN LN,PETROLIA,BUTLER,PA,16050,41.012778,79.719444
45209WTTCX4454S,AZZ GALVANIZING SERVICES-CINCINNATI,4454 STEEL PL,CINCINNATI,HAMILTON,OH,45209,39.157778,84.4125
47302NDNGL2415S,AZZ GALVANIZING SERVICES-MUNCIE,2415 S WALNUT ST,MUNCIE,DELAWARE,IN,47302,40.191667,85.383333
32254BLRRW5244E,BLUE ARROW PRODS INC,5244 EDGEWOOD CT,JACKSONVILLE,DUVAL,FL,32254,,
29044STHCR142WA,WATEREE STATION - SCE& G,142 WATEREE STATION RD,EASTOVER,RICHLAND,SC,29044,,
46342GLDWN2400E,GLADWIN INDIANA,2400 E STATE RD 130,HOBART,LAKE,IN,46342,,
44320KRMNR2331C,KARMAN RUBBER CO,2331 COPLEY RD,AKRON,SUMMIT,OH,44320,41.089444,81.603889
48192KRMZN37761,KARMAZIN PRODUCTS CORP,3776 11TH ST,WYANDOTTE,WAYNE,MI,48192,42.1943,83.1665
93274DRYMN400SO,LAND O LAKES - TULARE DCCA,400 S M ST,TULARE,TULARE,CA,93274,36.204167,119.340278
37744KRFTNBOHAN,LA QUESERA MEXICANA,121 HANKINS ST,GREENEVILLE,GREENE,TN,37745,36.175,82.825
83606DRYMN520AL,DARIGOLD-CALDWELL,520 ALBANY ST,CALDWELL,CANYON,ID,83605,43.669444,116.687778
00619CRBBNLUCHE,PUMA ENERGY CARIBE LLC,PR 28 KM 2 LUCHETTI IND US TRIAL PARK,BAYAMON,BAYAMON,PR,961,18.418333,66.133333
22603SWRDN1481L,NEW BEDFORD TECHNOLOGY LLC,148-1 LENOIR DR,WINCHESTER,FREDERICK,VA,22603,39.219444,78.148056
38449WLVRNRAILR,WOLVERINE TUBE INC ARDMORE OPERATIONS,30500 RAILROAD ST,ARDMORE,GILES,TN,38449,34.998333,86.845
38829WLVRN1WOLV,WOLVERINE TUBE INC. BOONEVILLE PLANT,1 WOLVERINE DR,BOONEVILLE,PRENTISS,MS,38829,34.683333,88.538611
63122KLNGN3630S,KEIL ENGINEERING PRODUCTS INC,3630 SCARLET OAK BLVD,SAINT LOUIS,ST LOUIS,MO,63122,38.562778,90.453889
96752KKHSG8315K,KEKAHA SUGAR CO LTD,8315 KEKAHA RD,KEKAHA,KAUAI,HI,96752,21.972222,159.713333
53012KLCHCW66N6,KELCH CORP ROTOMOLD DIV,W 66 N 622 MADISON AVE,CEDARBURG,OZAUKEE,WI,53012,43.298889,87.991667
47394KLLRN329NE,KELLAIR ENGINEERING INC,7 INDUSTRIAL DR,WINCHESTER,RANDOLPH,IN,47394,40.166667,84.983333
47711KLLRC1100E,KELLER CRESCENT CO,1100 E LOUISIANA ST,EVANSVILLE,VANDERBURGH,IN,47711,37.988333,87.544722
47161KLLRMCORYD,KELLER MANUFACTURING CO INC,1010 KELLER DR NE,NEW SALISBURY,HARRISON,IN,47161,38.303611,86.103333
74801WLVRN500WO,WOLVERINE TUBE INC,41600 WOLVERINE RD,SHAWNEE,POTTAWATOMIE,OK,74804,35.422222,96.916667
49351FCTRY9345C,WOLVERINE WORLD WIDE INC FACTORY A,9345 COURTLAND DR,ROCKFORD,KENT,MI,49351,43.136633,85.539534
61341TXSGLUSROU,PCS PHOSPHATE CO INC,US RTE 6,MARSEILLES,LA SALLE,IL,61341,41.3282,88.7089
60007CMWLY2480G,ICON IDENTITY SOLUTIONS,2480 GREENLEAF AVE,ELK GROVE VILLAGE,COOK,IL,60007,,
77571LPRTM11603,LAPORTE METHANOL CO LP,11603 STRANG RD,LA PORTE,HARRIS,TX,77571,,
47374SLVCS2153W,DANA CORP PERFECT CIRCLE DIV RICHMOND LINER FOUNDRY,2153 WILLAMSBURG PIKE,RICHMOND,WAYNE,IN,473751446,39.858333,84.908333
46808DNCRP2100W,DANA LIGHT AXLE PRODUCTS LLC,2100 W STATE ST,FORT WAYNE,ALLEN,IN,46808,41.104167,85.170833
33802JCBWL2090B,JUICE BOWL PRODS INC,2090 BARTOW HWY,LAKELAND,POLK,FL,33802,28.0403,81.9514
55303LFFTN14150,LIFE FITNESS A DIV OF BRUNSWICK CORP,14150 SUNFISH LAKE BLVD,RAMSEY,ANOKA,MN,55303,,
02724NWNGL220SH,NEW ENGLAND ELECTROPOLISHING CO INC,220 SHOVE ST,FALL RIVER,BRISTOL,MA,2724,,
75238MRCNP10741,AMERICAN PRODUCTS CO,10741 MILLER RD,DALLAS,DALLAS,TX,75238,,
54611WSCNSROUTE,FOREMOST FARMS USA,W12215 COUNTY RD FF,ALMA CENTER,JACKSON,WI,54611,44.393056,90.923611
54731WSCNSN1315,FOREMOST FARMS USA,N1315 CTY HWY G,CONRATH,RUSK,WI,54731,45.3809,91.062889
54812WSCNS616EM,FOREMOST FARMS USA,616 E MONROE AVE,BARRON,BARRON,WI,54812,45.4075,91.834167
06484LLSNB875BR,ALLISON ABRASIVES INC,875 BRIDGEPORT AVE,SHELTON,FAIRFIELD,CT,6484,41.3058,73.1389
02763DRNCN51ROB,DORANCO INC,51 ROBINSON AVE,ATTLEBORO FALLS,BRISTOL,MA,2763,,
17961SHLMT1486A,SHALMET CORP,116 PINEDALE IND RD,ORWIGSBURG,SCHUYLKILL,PA,17961,,
76227CLMNWRTE4B,COLEMAN WOOD PRODUCTS INC,5650 HWY 377,AUBREY,DENTON,TX,76227,,
44667KSRST2308S,SCOTTS,563 SOUTH CROWN HILL RD,ORRVILLE,WAYNE,OH,44667,40.82676,81.784573
06098WNSTD249RO,WINSTED PRECISION BALL CO,159 COLEBROOK RIVER RD,WINSTED,LITCHFIELD,CT,6098,41.922865,73.079531
32787WNTRG355S9,LOUIS DREYFUS CO CITRUS INC,355 S 9TH ST,WINTER GARDEN,ORANGE,FL,34787,28.5625,81.575
93308RBRVP16608,RIO BRAVO POSO,16608 PORTERVILLE HWY,BAKERSFIELD,KERN,CA,93308,,
68112MHPBL7475P,OMAHA PUBLIC POWER DISTRICT NORTH OMAHA STATION,7475 PERSHING DR,OMAHA,DOUGLAS,NE,68112,,
90045NTRGN5760W,JOHNSON & JOHNSON CONSUMER INC,5760 W 96TH ST,LOS ANGELES,LOS ANGELES,CA,90045,,
02254HWLTT175WY,HEWLETT-PACKARD CO,175 WYMAN ST,WALTHAM,MIDDLESEX,MA,22549030,42.394722,71.258333
05301WNTRPRR5PO,WINTER PANEL CORP,74 GLEN ORNE DR,BRATTLEBORO,WINDHAM,VT,5301,42.8625,72.541667
65201DNCRP2400L,SPICER AXLE INC,2400 LEMONE INDUSTRIAL BLVD,COLUMBIA,BOONE,MO,652018263,,
47959HPMNN6929N,HPA MONON CORP,6929 NORTH US HWY 421,MONON,WHITE,IN,47959,,
28256SLCTR6900M,FLEXTRONICS-CHARLOTTE,6800 SOLECTRON DR,CHARLOTTE,MECKLENBURG,NC,28262,,
94545THHRR25450,HERRICK CORP,25450 CLAWITER RD,HAYWARD,ALAMEDA,CA,94545,37.635102,122.1186
46962DXTRX11870,NOVAE CORP,11870 N 650 E,NORTH MANCHESTER,WABASH,IN,46962,,
11590JHCLC1600S,JH CALLO CO INC,1600 STEWART AVE SUITE 303,WESTBURY,NASSAU,NY,11590,,
50125HRSCH1301N,HERSCHEL-ADAMS INC,1301 N 14TH ST,INDIANOLA,WARREN,IA,501251585,41.366667,93.533333
95361HRSHY1400S,HERSHEY CHOCOLATE USA WESTERN PLANT,1400 S YOSEMITE AVE,OAKDALE,STANISLAUS,CA,953619368,37.755,120.835278
18201HRSHYHUMBO,HERSHEY FOODS CORP HAZLETON PLANT,2 SCOTCH PINE DR HUMBOLDT INDL PARK,HAZLETON,LUZERNE,PA,18202,40.931944,76.044444
