tri_facility.TRI_FACILITY_ID,tri_facility.FACILITY_NAME,tri_facility.STREET_ADDRESS,tri_facility.CITY_NAME,tri_facility.COUNTY_NAME,tri_facility.STATE_ABBR,tri_facility.ZIP_CODE,tri_facility.PREF_LATITUDE,tri_facility.PREF_LONGITUDE
32254VNWTR2783W,VOPAK USA INC,2783 W 5TH ST,JACKSONVILLE,DUVAL,FL,32254,,
36610VNWTR2500P,VAN WATERS & ROGERS INC,2500 PAPER MILL RD,MOBILE,MOBILE,AL,36610,,
33619VNWTR6049O,UNIVAR USA INC TAMPA FACILITY,6049 OLD 41A HWY,TAMPA,HILLSBOROUGH,FL,33619,,
24015SSCTD2677R,ASSOCIATED ASPHALT ROANOKE LLC,2677 ROANOKE AVE SW,ROANOKE,ROANOKE (CITY),VA,24015,,
07114HNDYS337SH,HANDY STORE FIXTURES INC,337 SHERMAN AVE,NEWARK,ESSEX,NJ,7114,40.715556,74.1925
27102HNSDY600NO,HANES DYE & FINISHING CO,600 NW BLVD,WINSTON SALEM,FORSYTH,NC,27102,36.105556,80.252778
79901HNLYP1531M,KWAL - HOWELLS INC.,6050 LUCKETT CT,EL PASO,EL PASO,TX,79932,31.874444,106.593056
26041LCPCHROUTE,HANLIN CHEMICALS WEST VIRGINIA INC,ST RTE 2,MOUNDSVILLE,MARSHALL,WV,26041,39.902778,80.806667
97222HNNCR2000S,HANNA CAR WASH INTERNATIONAL,2000 HANNA HARVESTER DR,MILWAUKIE,CLACKAMAS,OR,97222,45.451944,122.635833
23502CSTMM1164K,CUSTOM MARBLE CONCEPTS,1164 KINGWOOD AVE,NORFOLK,NORFOLK (CITY),VA,23502,,
33014CRDSC14201,CORDIS CORP.,14201 NW 60TH AVE,MIAMI LAKES,MIAMI-DADE,FL,33014,25.904444,80.299722
12746CDCHRROUTE,C&D TECHNOLOGIES INC,430 RTE 209,HUGUENOT,ORANGE,NY,12746,41.4189,74.6297
18001BLLHW795RO,BELL & HOWELL PHILLIPSBURG CO,795 ROBLE RD,ALLENTOWN,LEHIGH,PA,18103,40.633333,75.455278
12043RSCHLSGRAN,RASCHEL FASHION INTERKNITTING  SOUTH PLANT,S GRAND ST EXTENSION,COBLESKILL,SCHOHARIE,NY,12043,,
35208NDLCH1125R,INDUSTRIAL CHEMICALS INC,1125 ROBERTS IND US TRIAL DR,BIRMINGHAM,JEFFERSON,AL,35208,,
62002LLNSPNO1CH,WOOD RIVER POWER STATION,#1 CHESSEN LN,ALTON,MADISON,IL,62002,,
61741SLGSL342EW,SELIG SEALING PRODUCTS INC,342 E WABASH,FORREST,LIVINGSTON,IL,617410028,40.7483,88.409667
28115CRSBRPOBOX,"CARISBROOK, TEMPLON DIV",150 BYPASS,MOORESVILLE,IREDELL,NC,28115,35.591667,80.817222
96817HNLLT933NN,CHEVRON HONOLULU TERMINAL TRAN SPORTATION,933 N NIMITZ HWY,HONOLULU,HONOLULU,HI,96817,,
96817HNLLM777NN,IES DOWNSTREAM LLC - HONOLULU TERMINAL MARINE,777 N NIMITZ HWY,HONOLULU,HONOLULU,HI,96817,,
42701MSRCS2112N,MOUSER CUSTOM CABINETRY,2112 N DIXIE AVENUE,ELIZABETHTOWN,HARDIN,KY,42701,,
47274DVMRC1821E,DAVE O'MARA PLANT 4,1821 E 2ND AVE FREEMAN FIELD,SEYMOUR,JACKSON,IN,47274,,
41048MNTCH2961A,OMNI TECHS INC,2961 ARIENS DR,HEBRON,BOONE,KY,41048,,
74601MRTZN1701N,MERTZ MANUFACTURING INC,1701 N WAVERLY,PONCA CITY,KAY,OK,74601,,
38133BRTHR2950B,BROTHER INDUSTRIES (USA) INC,2950 BROTHER BLVD,BARTLETT,SHELBY,TN,38133,,
44310PRKRH1000H,PARKER HANNIFIN CORP,1000 HOME AVE,AKRON,SUMMIT,OH,44310,,
76657SNVLW1101J,ALLIANT TECHSYSTEMS NAVY WEAPONS INDL RESERVE PLANT,1101 JOHNSON DR,MC GREGOR,MCLENNAN,TX,766570548,31.408333,97.438056
44706HRCLS4883S,HERCULES POLISHING & PLATING CO,4883 SOUTHWAY SW,CANTON,STARK,OH,44706,40.782222,81.438889
01886WHSTL5LIBE,WHISTLER CORP,5 LIBERTY WAY,WESTFORD,MIDDLESEX,MA,1886,42.563217,71.422825
74953JHNSNHIGHW,JOHNSON CONTROLS INC PANEL UNIT,HWY 59 N,POTEAU,LE FLORE,OK,74953,35.090833,94.630278
48158JHNSN10501,JOHNSON CONTROLS INC PLASTICS MACHINERY DIV,10501 HWY M-52,MANCHESTER,WASHTENAW,MI,48158,42.145833,84.019444
90746JHNSN20631,JOHNSON LAMINATING & COATING INC,20631 ANNALEE AVE,CARSON,LOS ANGELES,CA,90746,33.843432,118.251958
97210HRCLS3366N,SOLENIS LLC,3366 NW YEON AVE,PORTLAND,MULTNOMAH,OR,97210,45.546389,122.7075
92676CTLNP5305S,CATALINIA PACIFIC CONCRETE CO ORANGE PLANT,5305 SANTIAGO CANYON RD,SILVERADO,ORANGE,CA,92676,,
79124MRLLR4200W,AMARILLO REFINED PRODUCTS TERMINAL,4200 W CLIFFSIDE AVE,AMARILLO,POTTER,TX,79124,,
16161WHTLNCOUNC,ZEKELMAN INDUSTRIES CO DBA WHEATLAND TUBE CO-COUNCIL,1 COUNCIL AVE,WHEATLAND,MERCER,PA,16161,41.181944,80.491944
08330WHTNRROUTE,WHEATON COATED PRODUCTS CO,"5176 HARDING HWY, RTE 40",MAYS LANDING,ATLANTIC,NJ,83302298,39.444444,74.694444
08332WHTNG220GS,GERRESHEIMER MOULDED GLASS,1300 WHEATON AVE,MILLVILLE,CUMBERLAND,NJ,8332,39.408333,75.019444
87110LBQRQ6348S,ALBUQUERQUE REFINED PRODUCTS T ERMINAL,6348 STATE RD 303,ALBUQUERQUE,BERNALILLO,NM,87110,,
80925CLRDS7810D,COLORADO SPRINGS REFINED PRODUCTS TERMINAL,7810 DRENNAN RD,COLORADO SPRINGS,EL PASO,CO,80925,,
17263JRRDN15276,JERR-DAN CORP.,15276 MOLLY PITCHER HWY.,STATE LINE,FRANKLIN,PA,17263,,
65109JHNSN2730W,JOHNSON CONTROLS INC.  HOOVER AUTOMOTIVE DIV.,2730 W MAIN ST,JEFFERSON CITY,COLE,MO,65109,38.597222,92.223611
55060JSTNS1900H,JOSTENS INC - SOUTHTOWN,1900 HARTLE AVE,OWATONNA,STEELE,MN,55060,44.064722,93.221111
61356JSTNS615S6,MIDWEST TROPHY MANUFACTURING,615 S 6TH ST,PRINCETON,BUREAU,IL,61356,41.354167,89.4625
66609JSTNS4000S,JOSTENS INC,4000 S ADAMS,TOPEKA,SHAWNEE,KS,66609,38.998056,95.667222
93067JSTNS2111O,JOSTENS INC,2111 ORTEGA HILL RD,SUMMERLAND,SANTA BARBARA,CA,93067,34.421667,119.606944
61356JSTNS526SO,JOSTENS INC,526 S 6TH ST,PRINCETON,BUREAU,IL,61356,41.354722,89.4625
29360JSTNSLYNNA,JOSTENS INC,LYNN AVE,LAURENS,LAURENS,SC,29360,34.527458,82.034271
89431WLDNN545GR,WILDON INDUSTRIES INC,545 GREG ST,SPARKS,WASHOE,NV,89431,39.522,119.748449
